,country,date,value
0,Africa Eastern and Southern,2021,1537.3360209254
62,Africa Western and Central,2021,1757.03062622138
124,Arab World,2021,6266.35991574864
186,Caribbean small states,2021,10063.6912979586
248,Central Europe and the Baltics,2021,18751.026511843
310,Early-demographic dividend,2021,3702.69278613251
372,East Asia & Pacific,2021,13041.7811855841
434,East Asia & Pacific (excluding high income),2021,9771.64820574671
496,East Asia & Pacific (IDA & IBRD countries),2021,9880.09606977467
558,Euro area,2021,42450.1537720293
620,Europe & Central Asia,2021,27152.4712288326
682,Europe & Central Asia (excluding high income),2021,8758.93855271138
744,Europe & Central Asia (IDA & IBRD countries),2021,9842.05226527455
806,European Union,2021,38411.062779601
868,Fragile and conflict affected situations,2021,1784.73432479422
930,Heavily indebted poor countries (HIPC),2021,1035.89255286148
992,High income,2021,48225.2412096793
1054,IBRD only,2021,7221.4063511037
1116,IDA & IBRD total,2021,5682.46667679398
1178,IDA blend,2021,1842.77104941479
1240,IDA only,2021,1216.37298905564
1302,IDA total,2021,1426.02871329881
1364,Late-demographic dividend,2021,11465.857770559
1426,Latin America & Caribbean,2021,8327.60519038266
1488,Latin America & Caribbean (excluding high income),2021,7728.03330913836
1550,Latin America & the Caribbean (IDA & IBRD countries),2021,8108.91586994813
1612,Least developed countries: UN classification,2021,1150.03014767511
1674,Low & middle income,2021,5491.92212029334
1736,Low income,2021,704.508786523468
1798,Lower middle income,2021,2572.70514396668
1860,Middle East & North Africa,2021,7562.82507779443
1922,Middle East & North Africa (excluding high income),2021,3565.23934309396
1984,Middle East & North Africa (IDA & IBRD countries),2021,3564.06602531565
2046,Middle income,2021,6074.0849211156
2108,North America,2021,68369.6627865258
2170,Not classified,2021,
2232,OECD members,2021,42446.8593225577
2294,Other small states,2021,13878.8148434096
2356,Pacific island small states,2021,3643.84543691992
2418,Post-demographic dividend,2021,49223.5950344334
2480,Pre-demographic dividend,2021,1411.4592703128
2542,Small states,2021,12588.9277948417
2604,South Asia,2021,2149.8215950035
2666,South Asia (IDA & IBRD),2021,2149.8215950035
2728,Sub-Saharan Africa,2021,1626.27792590406
2790,Sub-Saharan Africa (excluding high income),2021,1625.18311846119
2852,Sub-Saharan Africa (IDA & IBRD countries),2021,1626.27792590406
2914,Upper middle income,2021,10828.0506944074
2976,World,2021,12234.7968020033
3038,Afghanistan,2021,368.754614175459
3100,Albania,2021,6492.87201224634
3162,Algeria,2021,3690.62787797599
3224,American Samoa,2021,15743.3107582991
3286,Andorra,2021,42137.3272710372
3348,Angola,2021,1953.53375721508
3410,Antigua and Barbuda,2021,15781.3957017982
3472,Argentina,2021,10636.1201956183
3534,Armenia,2021,4966.51347122366
3596,Aruba,2021,29342.1008575886
3658,Australia,2021,60443.1091649968
3720,Austria,2021,53637.7057109897
3782,Azerbaijan,2021,5387.99797495383
3844,"Bahamas, The",2021,27478.3896289831
3906,Bahrain,2021,26562.9691354026
3968,Bangladesh,2021,2457.92487986361
4030,Barbados,2021,17225.4623044097
4092,Belarus,2021,7302.25779418774
4154,Belgium,2021,51247.0143531626
4216,Belize,2021,6228.26730928353
4278,Benin,2021,1319.1549945174
4340,Bermuda,2021,114090.328338579
4402,Bhutan,2021,3266.36490519183
4464,Bolivia,2021,3345.19658873831
4526,Bosnia and Herzegovina,2021,7143.3105484321
4588,Botswana,2021,6805.22127398897
4650,Brazil,2021,7507.16097080234
4712,British Virgin Islands,2021,
4774,Brunei Darussalam,2021,31449.0765620727
4836,Bulgaria,2021,12221.4966064171
4898,Burkina Faso,2021,893.077155776863
4960,Burundi,2021,221.477676223363
5022,Cabo Verde,2021,3293.23305430614
5084,Cambodia,2021,1625.23501955454
